PROD ID,SUG,ID,SUG MUZAR,SHM MUZAR,MISPAR HEVRA,SHM HEVRA,YITRAT NEHASIM,MENAYOT,AGAH CONC,AGAH MMSL,HALVAAOT LS,KRANOT LS,AHER,MEZUMAN_PIKDONOT,MATAH,HUL
1-פוליסות שהונפקו משנת 2004 ואילך-איי. די. איי. חברה לביטוח בעמ מסלול אגח ממשלת ישראל,ביטוח,1,פוליסות שהונפקו משנת 2004 ואילך,"איי. די. איי. חברה לביטוח בע""מ מסלול אג""ח ממשלת ישראל",ללא,0,88.8701,1.54,4.857651786,77.60484122,2.285695639,12.41846245,0,1.294136048,12.6,8.41
4-פוליסות שהונפקו משנת 2004 ואילך-כלל-אגח,ביטוח,4,פוליסות שהונפקו משנת 2004 ואילך,"כלל-אג""ח",ללא,0,2329.58833,0.94,45.76782027,17.89783176,13.68810514,13.72210257,1.896335049,6.089363437,11.7,25.39
6-פוליסות שהונפקו משנת 2004 ואילך-כלל אגח עד 15% מניות,ביטוח,6,פוליסות שהונפקו משנת 2004 ואילך,"כלל חברה לביטוח בע""מ אג""ח עד 15% מניות",ללא,0,10262.40078,14.14,35.9383499,14.2287076,13.02372348,13.12423797,8.443990043,4.090030286,14.59,39.81
7-פוליסות שהונפקו משנת 2004 ואילך-כלל-כללי 2,ביטוח,7,פוליסות שהונפקו משנת 2004 ואילך,כלל-כללי 2,ללא,0,1125.49531,46.48,19.90751965,9.588391799,10.61501536,16.6599628,2.372919706,5.218129252,24.7,55.33
9-פוליסות שהונפקו משנת 2004 ואילך-כלל-מניות,ביטוח,9,פוליסות שהונפקו משנת 2004 ואילך,כלל-מניות,ללא,0,2415.87963,95.37,0.099185405,0,0.709290305,1.466732844,8.594608664,16.97011287,32.87,68.98
28-פוליסות שהונפקו משנת 2004 ואילך-כלל-שקלי,ביטוח,28,פוליסות שהונפקו משנת 2004 ואילך,כלל-שקלי,ללא,0,361.13143,0.75,41.59651792,41.27281306,10.21088084,0.290199056,0.058399791,5.816220427,5.63,11.45
40-פוליסות שהונפקו משנת 2004 ואילך-מנורה מבטחים ביטוח בעמ שיקלי,ביטוח,40,פוליסות שהונפקו משנת 2004 ואילך,"מנורה מבטחים ביטוח בע""מ שיקלי",ללא,0,0.00007,0,0,0,0,0,0,142.8571429,0,0
41-פוליסות שהונפקו משנת 2004 ואילך-מנורה מבטחים ביטוח בעמ שיקלי טווח קצר,ביטוח,41,פוליסות שהונפקו משנת 2004 ואילך,"מנורה מבטחים ביטוח בע""מ שיקלי טווח קצר",ללא,0,171.78792,0,0,37.0956817,0,0,0,62.90430666,0,0
42-פוליסות שהונפקו משנת 2004 ואילך-מנורה מבטחים ביטוח אגח צמוד מדד,ביטוח,42,פוליסות שהונפקו משנת 2004 ואילך,"מנורה מבטחים ביטוח בע""מ אג""ח",ללא,0,866.89822,0,56.14934819,27.51191484,8.953819285,2.892092684,-0.126866104,4.614843943,12.18,9.38
43-פוליסות שהונפקו משנת 2004 ואילך-מנורה מבטחים ביטוח בעמ מטח,ביטוח,43,פוליסות שהונפקו משנת 2004 ואילך,"מנורה מבטחים ביטוח בע""מ מט""ח",ללא,0,82.18062,0,49.13822748,43.99175864,0,0,-0.907513231,7.740997817,95.9,94.49
